"ID"	,"REG_NO"	,"CORP_NAME"
"1292"	,"91320115773970009N"	,南京特麦奥包装材料有限责任公司
"1294"	,"91320106780693505J"	,南京乾天印务有限公司
"1763"	,"320124666202202220113"	,南京金舰纸业有限公司
"1764"	,"320124000021515"	,南京市溧水区文昌印务有限公司
"1765"	,"320104000013038"	,南京创业印刷有限公司
"1299"	,"320100000125106"	,南京鸿润印刷有限公司
"1766"	,"913201046637745848"	,南京宝信印务有限公司
"1767"	,"320104000017797"	,南京佳博印务有限公司
"1304"	,"913201117770307941"	,南京川璟电脑商标印织有限公司
"1306"	,"91320115797141950B"	,南京浪花包装有限责任公司
"1308"	,"913201117423869185"	,南京华泰包装纸业有限公司
"1309"	,"913201187971452812"	,南京华沣精彩包装材料有限公司
"1314"	,"91320102660655336k"	,南京千面艺术设计制作有限公司玄武图文分公司
"1768"	,"91320115671345210W"	,南京西泉彩色印刷有限公司
"1316"	,"91320102671300143M"	,南京地海印刷有限公司
"1319"	,"320104000046458"	,南京润泰华印刷有限责任公司
"1769"	,"91320104X089536743"	,南京安平印刷厂
"1321"	,"320121000119992"	,南京格润标签印刷有限公司
"1772"	,"91320106671306916E"	,南京轩韵印刷有限公司
"1324"	,"913201156637700573"	,南京祥泰包装有限公司
"1773"	,"320113000068365"	,南京金丝藤印务有限公司
"1774"	,"9132010467900033X7"	,南京浩韵印刷有限责任公司
"1775"	,"91320113686721442k"	,南京六目印务有限公司
"1144"	,"320100000112804"	,南京南汽印务有限公司
"1333"	,"91320115797113829M"	,南京俊鹏彩色包装有限公司
"1776"	,"320121000132684"	,南京宁玖印务有限公司
"1337"	,"913201066867121242"	,南京市鼓楼区响亮电脑服务中心
"1336"	,"91320111686703164W"	,南京瑞联印务有限公司
"1335"	,"320106000139008"	,南京金墨佳印彩色印刷有限公司
"1341"	,"320125000062563"	,南京华邦包装材料有限公司
"1343"	,"320104000087177"	,南京悦雯印刷有限公司
"1778"	,"320104000030958"	,南京炎上印务有限公司
"1345"	,"91320104667391628C"	,南京普尔服装辅料有限公司
"1779"	,"320124000046707"	,南京森和印务有限公司
"1350"	,"320104000052106"	,南京冠鑫服装辅料有限公司
"1351"	,"320124000021201"	,南京兰泰广告科技有限公司
"1781"	,"320114000057963"	,南京华超印刷有限公司
"1783"	,"9132011655886254XU"	,南京龙龙印刷有限公司
"1784"	,"320121000166342"	,南京市江宁区金福印务有限公司
